a,b,c,d,e,f
pertinax,,pertinax,['pertinax'],pertinax,pertinax
pertu,pertu,,,,pertu
perturb,,perturb,['perturb'],perturb,perturb
peru,peru,,,,peru
perveanc,,perveanc,['perveanc'],perveanc,perveanc
pesent,pesent,,,,pesent
petersen,,petersen,"['peter', 'sen', 'peters', 'en']",peter sen peters en,peter sen peters en
peterson,,peterson,"['peter', 'son', 'peters', 'on']",peter son peters on,peter son peters on
petr,petr,,,,petr
petrol,petrol,,,,petrol
petroleum,,petroleum,['petroleum'],petroleum,petroleum
pf,pf,,,,pf
phantastron,,phantastron,['phantastron'],phantastron,phantastron
phase,phase,,,,phase
phasor,phasor,,,,phasor
phenol,phenol,,,,phenol
phenomena,,phenomena,"['phenomen', 'a']",phenomen a,phenomen a
phenomenolog,,phenomenolog,['phenomenolog'],phenomenolog,phenomenolog
phenomenon,,phenomenon,"['phenomen', 'on']",phenomen on,phenomen on
pheolinear,,pheolinear,['pheolinear'],pheolinear,pheolinear
philadelphia,,philadelphia,['philadelphia'],philadelphia,philadelphia
philip,philip,,,,philip
phillip,,phillip,"['phil', 'lip']",phil lip,phil lip
phillipin,,phillipin,"['phillip', 'in']",phillip in,phillip in
phm,phm,,,,phm
phoenicid,,phoenicid,['phoenicid'],phoenicid,phoenicid
phombic,,phombic,['phombic'],phombic,phombic
phon,phon,,,,phon
phonic,phonic,,,,phonic
phonon,phonon,,,,phonon
phosphor,,phosphor,['phosphor'],phosphor,phosphor
phosphoresc,,phosphoresc,"['phosphor', 'esc']",phosphor esc,phosphor esc
photo,photo,,,,photo
photocathod,,photocathod,['photocathod'],photocathod,photocathod
photocel,,photocel,"['photo', 'cel']",photo cel,photo cel
photochem,,photochem,['photochem'],photochem,photochem
photoconduct,,photoconduct,"['photo', 'conduct']",photo conduct,photo conduct
photoconductor,,photoconductor,"['photo', 'conductor']",photo conductor,photo conductor
photocurr,,photocurr,"['photo', 'curr']",photo curr,photo curr
photodetach,,photodetach,"['photo', 'detach']",photo detach,photo detach
photodiod,,photodiod,['photodiod'],photodiod,photodiod
photodissoci,,photodissoci,['photodissoci'],photodissoci,photodissoci
photoec,,photoec,['photoec'],photoec,photoec
photoeffect,,photoeffect,"['photo', 'effect']",photo effect,photo effect
photoelectr,,photoelectr,['photoelectr'],photoelectr,photoelectr
photoelectron,,photoelectron,"['photo', 'electron']",photo electron,photo electron
photoemiss,,photoemiss,['photoemiss'],photoemiss,photoemiss
photoexcit,,photoexcit,['photoexcit'],photoexcit,photoexcit
photoform,,photoform,"['photo', 'form']",photo form,photo form
photograph,,photograph,"['photo', 'graph']",photo graph,photo graph
photographi,,photographi,"['photograph', 'i']",photograph i,photograph i
photoion,,photoion,"['photo', 'ion']",photo ion,photo ion
photomagnet,,photomagnet,"['photo', 'magnet']",photo magnet,photo magnet
photomechan,,photomechan,['photomechan'],photomechan,photomechan
photomet,,photomet,"['photo', 'met']",photo met,photo met
photometr,,photometr,['photometr'],photometr,photometr
photometri,,photometri,['photometri'],photometri,photometri
photomultipli,,photomultipli,['photomultipli'],photomultipli,photomultipli
photon,photon,,,,photon
photopl,,photopl,['photopl'],photopl,photopl
photorecombin,,photorecombin,['photorecombin'],photorecombin,photorecombin
photosensit,,photosensit,['photosensit'],photosensit,photosensit
photospher,,photospher,['photospher'],photospher,photospher
phototransistor,,phototransistor,"['photo', 'transistor']",photo transistor,photo transistor
phototub,,phototub,"['photo', 'tub']",photo tub,photo tub
photovolta,,photovolta,"['photo', 'volta']",photo volta,photo volta
phsy,phsy,,,,phsy
physic,physic,,,,physic
physica,,physica,"['physic', 'a']",physic a,physic a
physicist,,physicist,['physicist'],physicist,physicist
physicochem,,physicochem,['physicochem'],physicochem,physicochem
physik,physik,,,,physik
physiqu,,physiqu,['physiqu'],physiqu,physiqu
pi,pi,,,,pi
pick,pick,,,,pick
pickup,pickup,,,,pickup
picryl,picryl,,,,picryl
pictori,,pictori,"['pic', 'tori']",pic tori,pic tori
pictur,pictur,,,,pictur
piec,piec,,,,piec
piecewis,,piecewis,"['piece', 'wis']",piece wis,piece wis
pierc,pierc,,,,pierc
piezo,piezo,,,,piezo
piezoelectr,,piezoelectr,['piezoelectr'],piezoelectr,piezoelectr
piezomagnet,,piezomagnet,"['piezo', 'magnet']",piezo magnet,piezo magnet
piggott,,piggott,['piggott'],piggott,piggott
pile,pile,,,,pile
pill,pill,,,,pill
pillbox,,pillbox,"['pill', 'box']",pill box,pill box
pilot,pilot,,,,pilot
piloti,piloti,,,,piloti
pin,pin,,,,pin
pinch,pinch,,,,pinch
pine,pine,,,,pine
pink,pink,,,,pink
pinkerton,,pinkerton,"['pinker', 'ton']",pinker ton,pinker ton
pio,pio,,,,pio
pioneer,,pioneer,['pioneer'],pioneer,pioneer
pip,pip,,,,pip
pipe,pipe,,,,pipe
piper,piper,,,,piper
pippard,,pippard,"['pip', 'pard']",pip pard,pip pard
pisa,pisa,,,,pisa
pisarenko,,pisarenko,['pisarenko'],pisarenko,pisarenko
piston,piston,,,,piston
pistoulet,,pistoulet,['pistoulet'],pistoulet,pistoulet
pit,pit,,,,pit
pitch,pitch,,,,pitch
pitot,pitot,,,,pitot
pittsburg,,pittsburg,['pittsburg'],pittsburg,pittsburg
pittsburgh,,pittsburgh,"['pittsburg', 'h']",pittsburg h,pittsburg h
pl,pl,,,,pl
place,place,,,,place
plage,plage,,,,plage
plai,plai,,,,plai
plain,plain,,,,plain
plan,plan,,,,plan
planar,planar,,,,planar
planck,planck,,,,planck
plane,plane,,,,plane
planet,planet,,,,planet
planetari,,planetari,['planetari'],planetari,planetari
plant,plant,,,,plant
plasma,plasma,,,,plasma
plasmoid,,plasmoid,['plasmoid'],plasmoid,plasmoid
plasmon,,plasmon,"['plasm', 'on']",plasm on,plasm on
plastic,,plastic,['plastic'],plastic,plastic
plate,plate,,,,plate
plateau,,plateau,"['plat', 'eau', 'plate', 'au']",plat eau plate au,plat eau plate au
platinum,,platinum,['platinum'],platinum,platinum
platma,platma,,,,platma
plausibl,,plausibl,['plausibl'],plausibl,plausibl
playback,,playback,"['p', 'layback', 'play', 'back']",p layback play back,p layback play back
player,player,,,,player
plea,plea,,,,plea
plexigla,,plexigla,['plexigla'],plexigla,plexigla
plot,plot,,,,plot
plotter,,plotter,['plotter'],plotter,plotter
plu,plu,,,,plu
plug,plug,,,,plug
plunger,,plunger,"['plunge', 'r']",plunge r,plunge r
pm,pm,,,,pm
pn,pn,,,,pn
pneumat,,pneumat,"['pneuma', 't']",pneuma t,pneuma t
pnn,pnn,,,,pnn
pnp,pnp,,,,pnp
pnpn,pnpn,,,,pnpn
po,po,,,,po
pocket,pocket,,,,pocket
podal,podal,,,,podal
poer,poer,,,,poer
poin,poin,,,,poin
poincar,,poincar,['poincar'],poincar,poincar
poinoscil,,poinoscil,['poinoscil'],poinoscil,poinoscil
point,point,,,,point
poisson,,poisson,"['pois', 'son']",pois son,pois son
poitier,,poitier,"['poi', 'tier']",poi tier,poi tier
pol,pol,,,,pol
polar,polar,,,,polar
polari,polari,,,,polari
polarimet,,polarimet,['polarimet'],polarimet,polarimet
polarimetri,,polarimetri,['polarimetri'],polarimetri,polarimetri
polariz,,polariz,['polariz'],polariz,polariz
polaron,,polaron,"['polar', 'on']",polar on,polar on
pole,pole,,,,pole
polish,polish,,,,polish
pollard,,pollard,"['pol', 'lard', 'poll', 'ard']",pol lard poll ard,pol lard poll ard
polyatom,,polyatom,"['poly', 'atom']",poly atom,poly atom
polycathod,,polycathod,['polycathod'],polycathod,polycathod
polychloronaphthal,,polychloronaphthal,['polychloronaphthal'],polychloronaphthal,polychloronaphthal
polycrystallin,,polycrystallin,"['polycrystal', 'lin']",polycrystal lin,polycrystal lin
polyest,,polyest,"['pol', 'yest', 'poly', 'est']",pol yest poly est,pol yest poly est
polygon,,polygon,['polygon'],polygon,polygon
polyhedr,,polyhedr,['polyhedr'],polyhedr,polyhedr
polyhedron,,polyhedron,['polyhedron'],polyhedron,polyhedron
polymer,,polymer,"['poly', 'mer']",poly mer,poly mer
polymethylmethacri,,polymethylmethacri,['polymethylmethacri'],polymethylmethacri,polymethylmethacri
polynomi,,polynomi,['polynomi'],polynomi,polynomi
polyphas,,polyphas,"['polyp', 'has']",polyp has,polyp has
polystyren,,polystyren,['polystyren'],polystyren,polystyren
polysulphid,,polysulphid,['polysulphid'],polysulphid,polysulphid
polytechn,,polytechn,['polytechn'],polytechn,polytechn
polytetrafluoroethi,,polytetrafluoroethi,['polytetrafluoroethi'],polytetrafluoroethi,polytetrafluoroethi
polythylen,,polythylen,['polythylen'],polythylen,polythylen
polyvinyl,,polyvinyl,"['poly', 'vinyl']",poly vinyl,poly vinyl
ponderomot,,ponderomot,['ponderomot'],ponderomot,ponderomot
ponent,ponent,,,,ponent
pool,pool,,,,pool
poona,poona,,,,poona
poor,poor,,,,poor
poorli,poorli,,,,poorli
popul,popul,,,,popul
por,por,,,,por
porat,porat,,,,porat
porcelain,,porcelain,['porcelain'],porcelain,porcelain
pore,pore,,,,pore
poriod,poriod,,,,poriod
porou,porou,,,,porou
port,port,,,,port
portabl,,portabl,['portabl'],portabl,portabl
portion,,portion,"['port', 'ion']",port ion,port ion
porto,porto,,,,porto
portrai,,portrai,"['port', 'rai']",port rai,port rai
porvic,porvic,,,,porvic
pose,pose,,,,pose
posit,posit,,,,posit
positiinu,,positiinu,['positiinu'],positiinu,positiinu
possess,,possess,"['pos', 'sess', 'poss', 'ess', 'posses', 's']",pos sess poss ess posses s,pos sess poss ess posses s
possibili,,possibili,['possibili'],possibili,possibili
possibl,,possibl,['possibl'],possibl,possibl
post,post,,,,post
posthum,,posthum,"['post', 'hum']",post hum,post hum
postul,postul,,,,postul
pot,pot,,,,pot
potassium,,potassium,['potassium'],potassium,potassium
potenti,,potenti,"['potent', 'i']",potent i,potent i
potentiomet,,potentiomet,['potentiomet'],potentiomet,potentiomet
potter,potter,,,,potter
pound,pound,,,,pound
pour,pour,,,,pour
powder,powder,,,,powder
power,power,,,,power
powerlaw,,powerlaw,"['power', 'law']",power law,power law
poynt,poynt,,,,poynt
pp,pp,,,,pp
ppesent,,ppesent,['ppesent'],ppesent,ppesent
pphm,pphm,,,,pphm
pr,pr,,,,pr
prach,prach,,,,prach
pract,pract,,,,pract
practic,,practic,['practic'],practic,practic
practis,,practis,['practis'],practis,practis
pratap,pratap,,,,pratap
pre,pre,,,,pre
preamp,preamp,,,,preamp
preamplif,,preamplif,['preamplif'],preamplif,preamplif
preamplifi,,preamplifi,['preamplifi'],preamplifi,preamplifi
prebunch,,prebunch,"['pre', 'bunch']",pre bunch,pre bunch
prec,prec,,,,prec
precalcul,,precalcul,['precalcul'],precalcul,precalcul
precaut,,precaut,['precaut'],precaut,precaut
preced,preced,,,,preced
precedur,,precedur,['precedur'],precedur,precedur
precess,,precess,"['p', 'recess', 'pre', 'cess']",p recess pre cess,p recess pre cess
precession,,precession,"['p', 'recession', 'pre', 'cession', 'precess', 'ion']",p recession pre cession precess ion,p recession pre cession precess ion
precipit,,precipit,['precipit'],precipit,precipit
precis,precis,,,,precis
preclud,,preclud,['preclud'],preclud,preclud
precursor,,precursor,"['pre', 'cursor']",pre cursor,pre cursor
pred,pred,,,,pred
predetermin,,predetermin,['predetermin'],predetermin,predetermin
predict,,predict,"['pre', 'dict']",pre dict,pre dict
predictor,,predictor,"['predict', 'or']",predict or,predict or
predissoci,,predissoci,['predissoci'],predissoci,predissoci
predomin,,predomin,['predomin'],predomin,predomin
predominantli,,predominantli,"['predominant', 'li']",predominant li,predominant li
predominatli,,predominatli,['predominatli'],predominatli,predominatli
pree,pree,,,,pree
prefer,prefer,,,,prefer
preferenti,,preferenti,['preferenti'],preferenti,preferenti
preioniz,,preioniz,['preioniz'],preioniz,preioniz
preisach,,preisach,['preisach'],preisach,preisach
preliminari,,preliminari,['preliminari'],preliminari,preliminari
premagnet,,premagnet,"['pre', 'magnet']",pre magnet,pre magnet
premaximum,,premaximum,"['pre', 'maximum']",pre maximum,pre maximum
premis,premis,,,,premis
prepar,prepar,,,,prepar
preponder,,preponder,"['pre', 'ponder']",pre ponder,pre ponder
prerequisit,,prerequisit,['prerequisit'],prerequisit,prerequisit
prescott,,prescott,"['pre', 'scott', 'pres', 'cott', 'prescot', 't']",pre scott pres cott prescot t,pre scott pres cott prescot t
prescri,,prescri,"['pres', 'cri']",pres cri,pres cri
prescrib,,prescrib,"['pres', 'crib']",pres crib,pres crib
preselect,,preselect,"['p', 'reselect', 'pre', 'select', 'pres', 'elect']",p reselect pre select pres elect,p reselect pre select pres elect
presenc,,presenc,['presenc'],presenc,presenc
presenr,,presenr,['presenr'],presenr,presenr
present,,present,"['p', 'resent', 'pre', 'sent']",p resent pre sent,p resent pre sent
preserv,,preserv,['preserv'],preserv,preserv
preset,preset,,,,preset
presidenti,,presidenti,"['president', 'i']",president i,president i
press,press,,,,press
pressur,,pressur,"['pres', 'sur', 'press', 'ur']",pres sur press ur,pres sur press ur
pressureh,,pressureh,"['pressure', 'h']",pressure h,pressure h
prestorm,,prestorm,"['pre', 'storm']",pre storm,pre storm
presum,presum,,,,presum
prevail,,prevail,"['pre', 'vail']",pre vail,pre vail
preval,preval,,,,preval
prevent,,prevent,"['pre', 'vent']",pre vent,pre vent
preview,,preview,"['p', 'review', 'pre', 'view']",p review pre view,p review pre view
previou,,previou,['previou'],previou,previou
previous,,previous,['previous'],previous,previous
price,price,,,,price
primari,,primari,"['prima', 'ri']",prima ri,prima ri
primarili,,primarili,['primarili'],primarili,primarili
prin,prin,,,,prin
princ,princ,,,,princ
princip,,princip,['princip'],princip,princip
principl,,principl,"['princip', 'l']",princip l,princip l
print,print,,,,print
printer,,printer,"['print', 'er']",print er,print er
prinz,prinz,,,,prinz
prior,prior,,,,prior
priori,priori,,,,priori
prism,prism,,,,prism
prismat,,prismat,"['pris', 'mat', 'prism', 'at']",pris mat prism at,pris mat prism at
pritchard,,pritchard,['pritchard'],pritchard,pritchard
probabl,,probabl,['probabl'],probabl,probabl
probe,probe,,,,probe
problem,,problem,['problem'],problem,problem
proce,proce,,,,proce
procedur,,procedur,['procedur'],procedur,procedur
proceed,,proceed,['proceed'],proceed,proceed
process,,process,"['pro', 'cess', 'proces', 's']",pro cess proces s,pro cess proces s
produc,produc,,,,produc
product,,product,"['pro', 'duct']",pro duct,pro duct
proer,proer,,,,proer
profil,profil,,,,profil
program,,program,"['pro', 'gram', 'prog', 'ram']",pro gram prog ram,pro gram prog ram
programm,,programm,"['program', 'm']",program m,program m
progress,,progress,['progress'],progress,progress
project,,project,['project'],project,project
prolat,prolat,,,,prolat
prolong,,prolong,"['pro', 'long']",pro long,pro long
promin,promin,,,,promin
promis,promis,,,,promis
promot,promot,,,,promot
prong,prong,,,,prong
pronounc,,pronounc,"['pronoun', 'c']",pronoun c,pronoun c
proof,proof,,,,proof
propag,propag,,,,propag
propan,propan,,,,propan
proper,proper,,,,proper
properli,,properli,"['proper', 'li']",proper li,proper li
properti,,properti,"['proper', 'ti']",proper ti,proper ti
propog,propog,,,,propog
proport,,proport,"['pro', 'port', 'prop', 'ort']",pro port prop ort,pro port prop ort
proportion,,proportion,"['pro', 'portion']",pro portion,pro portion
propos,propos,,,,propos
proposit,,proposit,"['pro', 'posit', 'propos', 'it']",pro posit propos it,pro posit propos it
proprion,,proprion,"['pro', 'prion', 'proprio', 'n']",pro prion proprio n,pro prion proprio n
propuls,,propuls,['propuls'],propuls,propuls
prorrespond,,prorrespond,['prorrespond'],prorrespond,prorrespond
prospect,,prospect,['prospect'],prospect,prospect
prot,prot,,,,prot
protect,,protect,['protect'],protect,protect
protector,,protector,"['protect', 'or']",protect or,protect or
proton,proton,,,,proton
protonospher,,protonospher,['protonospher'],protonospher,protonospher
prototyp,,prototyp,['prototyp'],prototyp,prototyp
protract,,protract,"['pro', 'tract']",pro tract,pro tract
protron,,protron,"['pro', 'tron']",pro tron,pro tron
protrud,,protrud,['protrud'],protrud,protrud
prove,prove,,,,prove
provi,provi,,,,provi
provis,provis,,,,provis
provision,,provision,"['pro', 'vision']",pro vision,pro vision
prows,prows,,,,prows
proxim,proxim,,,,proxim
ps,ps,,,,ps
pseudo,pseudo,,,,pseudo
pseudoreson,,pseudoreson,['pseudoreson'],pseudoreson,pseudoreson
psn,psn,,,,psn
pso,pso,,,,pso
psychic,,psychic,['psychic'],psychic,psychic
psycholog,,psycholog,"['psycho', 'log']",psycho log,psycho log
pt,pt,,,,pt
ptera,ptera,,,,ptera
ptt,ptt,,,,ptt
public,public,,,,public
publish,,publish,['publish'],publish,publish
puckl,puckl,,,,puckl
puerto,puerto,,,,puerto
puff,puff,,,,puff
puk,puk,,,,puk
pule,pule,,,,pule
pulkov,pulkov,,,,pulkov
pulkovo,,pulkovo,"['pulk', 'ovo']",pulk ovo,pulk ovo
pull,pull,,,,pull
pullamplifi,,pullamplifi,['pullamplifi'],pullamplifi,pullamplifi
pullei,pullei,,,,pullei
pullman,,pullman,"['p', 'ullman', 'pull', 'man']",p ullman pull man,p ullman pull man
puls,puls,,,,puls
pulsat,pulsat,,,,pulsat
pulser,pulser,,,,pulser
pulsesi,,pulsesi,"['pulse', 'si', 'pulses', 'i']",pulse si pulses i,pulse si pulses i
pump,pump,,,,pump
punch,punch,,,,punch
punctuat,,punctuat,['punctuat'],punctuat,punctuat
pupp,pupp,,,,pupp
puppi,puppi,,,,puppi
pure,pure,,,,pure
puriti,puriti,,,,puriti
purport,,purport,"['pur', 'port']",pur port,pur port
purpos,purpos,,,,purpos
pursu,pursu,,,,pursu
push,push,,,,push
pushpul,,pushpul,['pushpul'],pushpul,pushpul
put,put,,,,put
puzzl,puzzl,,,,puzzl
pvc,pvc,,,,pvc
pwm,pwm,,,,pwm
pyralen,,pyralen,"['pyral', 'en']",pyral en,pyral en
pyramid,,pyramid,['pyramid'],pyramid,pyramid
pyrex,pyrex,,,,pyrex
pyrolysi,,pyrolysi,['pyrolysi'],pyrolysi,pyrolysi
pyrolyt,,pyrolyt,['pyrolyt'],pyrolyt,pyrolyt
pyrrhotit,,pyrrhotit,['pyrrhotit'],pyrrhotit,pyrrhotit
pz,pz,,,,pz
qfactor,,qfactor,"['q', 'factor']",q factor,q factor
qs,qs,,,,qs
qu,qu,,,,qu
quadrant,,quadrant,"['qua', 'drant', 'quad', 'rant']",qua drant quad rant,qua drant quad rant
quadrantid,,quadrantid,"['quadrant', 'id']",quadrant id,quadrant id
quadrat,,quadrat,"['qua', 'drat', 'quad', 'rat']",qua drat quad rat,qua drat quad rat
quadratur,,quadratur,"['quadrat', 'ur']",quadrat ur,quadrat ur
quadripol,,quadripol,['quadripol'],quadripol,quadripol
quadrivector,,quadrivector,['quadrivector'],quadrivector,quadrivector
quadrupl,,quadrupl,['quadrupl'],quadrupl,quadrupl
quadrupol,,quadrupol,['quadrupol'],quadrupol,quadrupol
qualit,qualit,,,,qualit
qualiti,,qualiti,['qualiti'],qualiti,qualiti
quant,quant,,,,quant
quanta,quanta,,,,quanta
quantit,,quantit,"['quant', 'it']",quant it,quant it
quantiti,,quantiti,['quantiti'],quantiti,quantiti
quantiz,,quantiz,['quantiz'],quantiz,quantiz
quantum,,quantum,"['quant', 'um']",quant um,quant um
quaripol,,quaripol,['quaripol'],quaripol,quaripol
quarter,,quarter,"['quart', 'er', 'quarte', 'r']",quart er quarte r,quart er quarte r
quartz,quartz,,,,quartz
quasi,quasi,,,,quasi
quasiclass,,quasiclass,"['quasi', 'class']",quasi class,quasi class
quasicrit,,quasicrit,"['quasi', 'crit']",quasi crit,quasi crit
quasiharmon,,quasiharmon,['quasiharmon'],quasiharmon,quasiharmon
quasihydrodynam,,quasihydrodynam,['quasihydrodynam'],quasihydrodynam,quasihydrodynam
quasilinear,,quasilinear,"['quasi', 'linear']",quasi linear,quasi linear
quasistat,,quasistat,['quasistat'],quasistat,quasistat
quasistationari,,quasistationari,['quasistationari'],quasistationari,quasistationari
quaternari,,quaternari,['quaternari'],quaternari,quaternari
queensland,,queensland,"['queens', 'land']",queens land,queens land
quench,quench,,,,quench
queri,queri,,,,queri
question,,question,"['quest', 'ion']",quest ion,quest ion
questionnair,,questionnair,"['question', 'nair']",question nair,question nair
quetta,quetta,,,,quetta
quick,quick,,,,quick
quickest,,quickest,"['quick', 'est']",quick est,quick est
quickli,,quickli,"['quick', 'li']",quick li,quick li
quiescent,,quiescent,['quiescent'],quiescent,quiescent
quiet,quiet,,,,quiet
quinari,,quinari,"['quina', 'ri']",quina ri,quina ri
quinin,quinin,,,,quinin
quintic,,quintic,"['quin', 'tic']",quin tic,quin tic
quot,quot,,,,quot
quotient,,quotient,['quotient'],quotient,quotient
qxiscent,,qxiscent,['qxiscent'],qxiscent,qxiscent
ra,ra,,,,ra
rack,rack,,,,rack
rad,rad,,,,rad
radar,radar,,,,radar
raddi,raddi,,,,raddi
